"Município;""0 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Total"""
251150 Pilar;992;917;1152;1142;1936;1925;1532;885;687;407;213;11788
251160 Pilões;707;623;718;542;1116;1055;695;502;368;279;125;6730
251170 Pilõezinhos;409;471;434;519;835;799;526;481;324;217;102;5117
251180 Pirpirituba;1008;821;907;950;1734;1682;1205;964;608;451;223;10553
251190 Pitimbu;1933;2012;1956;1771;2940;3238;2104;1362;846;394;128;18684
251200 Pocinhos;1855;1857;1745;1417;2915;2777;2046;1403;1145;754;356;18270
251203 Poço Dantas;358;384;363;308;688;558;429;300;192;156;42;3778
251207 Poço de José de Moura;276;354;368;282;654;693;500;432;357;234;98;4248
251210 Pombal;2205;2608;2697;2381;5296;5301;4223;3238;2472;1565;728;32714
251220 Prata;348;409;351;230;700;591;488;381;291;220;96;4105
251230 Princesa Isabel;2052;2092;2065;1842;4146;3841;2557;2005;1224;791;382;22997
251240 Puxinanã;1347;1258;1270;1063;2279;2147;1539;1077;808;505;263;13556
251250 Queimadas;3406;3692;3915;3913;7925;6529;5595;3645;2739;1547;760;43666
251260 Quixabá;187;138;170;181;335;307;242;141;110;60;27;1898
251270 Remígio;1672;1969;1723;1469;3206;2801;2048;1613;1300;925;419;19145
251274 Riachão;310;311;333;348;597;588;362;265;212;139;65;3530
251275 Riachão do Bacamarte;249;438;445;408;735;669;543;385;323;183;101;4479
251276 Riachão do Poço;224;487;481;355;702;779;530;380;273;164;68;4443
251278 Riacho de Santo Antônio;209;169;179;191;316;293;222;163;88;61;30;1921
251280 Riacho dos Cavalos;674;780;643;669;1589;1385;995;811;580;310;131;8567
251290 Rio Tinto;1977;2006;1971;2139;4030;3865;2838;2264;1508;966;459;24023
251300 Salgadinho;394;386;394;321;579;636;425;315;210;139;69;3868
251310 Salgado de São Félix;927;1072;1003;1079;1765;1753;1343;1265;885;738;312;12142
251315 Santa Cecília;569;531;642;677;1073;1052;667;586;399;234;153;6583
251320 Santa Cruz;564;505;486;397;782;1090;762;780;602;408;204;6580
251330 Santa Helena;405;443;485;452;861;854;774;627;531;350;134;5916
251335 Santa Inês;283;366;312;293;726;533;403;358;167;116;38;3595
251340 Santa Luzia;904;1355;1371;1260;2311;2511;1908;1442;1120;730;361;15273
251370 Santa Rita;11246;11323;12910;12539;22197;23336;17282;11717;7028;3759;1600;134937
251380 Santa Teresinha;239;343;490;393;630;714;698;436;338;215;94;4590
251350 Santana de Mangueira;377;505;513;451;861;889;549;477;355;174;68;5219
251360 Santana dos Garrotes;570;550;590;562;1102;1056;833;780;575;338;157;7113
251385 Santo André;196;215;147;185;394;376;345;246;228;135;72;2539
251392 São Bentinho;373;442;335;344;684;700;523;381;354;213;102;4451
251390 São Bento;2718;2851;3097;2838;6015;6135;4023;2816;1793;820;357;33463
251396 São Domingos;175;255;239;231;459;506;406;283;276;158;77;3065
251394 São Domingos do Cariri;156;223;211;243;385;409;294;244;192;134;71;2562
251398 São Francisco;177;299;274;193;444;543;403;430;287;227;95;3372
251400 São João do Cariri;279;361;331;334;669;642;547;462;348;227;122;4322
250070 São João do Rio do Peixe;1075;1297;1508;1378;2668;3015;2366;1915;1433;870;403;17928
251410 São João do Tigre;392;366;491;348;637;581;598;456;277;200;85;4431
251420 São José da Lagoa Tapada;620;761;618;502;1132;1210;850;789;634;383;176;7675
251430 São José de Caiana;507;603;691;616;1107;1043;623;420;393;159;71;6233
251440 São José de Espinharas;415;474;394;357;697;751;478;477;339;215;89;4686
251450 São José de Piranhas;1407;1699;1884;1623;3533;3154;2345;1756;1332;867;353;19953
251455 São José de Princesa;265;360;348;410;632;639;472;299;300;168;64;3957
251460 São José do Bonfim;204;367;360;296;567;548;441;343;193;132;43;3494
251465 São José do Brejo do Cruz;122;155;200;128;297;314;211;143;123;65;22;1780
251470 São José do Sabugi;264;307;382;314;686;704;500;426;290;167;85;4125
251480 São José dos Cordeiros;242;368;398;244;470;585;458;384;280;195;104;3728
251445 São José dos Ramos;544;467;546;572;931;929;698;490;333;241;117;5868
251490 São Mamede;486;706;782;407;1041;1173;1009;831;688;416;219;7758
251500 São Miguel de Taipu;651;715;735;638;1199;1093;811;561;333;235;107;7078
251510 São Sebastião de Lagoa de Roça;784;1114;1120;1049;1714;1787;1467;1084;811;530;216;11676
251520 São Sebastião do Umbuzeiro;336;300;301;257;608;472;411;292;226;191;46;3440
251540 São Vicente do Seridó;781;1079;1171;987;2248;1643;1086;808;585;345;166;10899
251530 Sapé;3758;4677;4861;4532;8469;8738;6257;4729;3275;2029;894;52219
251550 Serra Branca;983;1187;1128;938;1995;2022;1632;1408;1033;824;412;13562
251560 Serra da Raiz;229;273;292;282;502;475;360;279;207;170;84;3153
251570 Serra Grande;297;250;238;260;568;491;322;279;192;111;66;3074
251580 Serra Redonda;533;498;627;644;1135;946;849;748;444;393;239;7056
251590 Serraria;534;571;604;544;945;851;672;618;367;292;156;6154
251593 Sertãozinho;291;471;470;443;741;740;638;370;366;252;110;4892
251597 Sobrado;656;692;610;670;1411;1200;1010;631;409;310;113;7712
251600 Solânea;2089;2432;2566;2316;3861;4150;2993;2544;1749;1429;604;26733
251610 Soledade;1195;1354;1441;1134;2389;2478;1695;1276;931;542;281;14716
251615 Sossêgo;348;333;347;323;560;504;389;308;192;107;66;3477
251620 Sousa;5286;6004;5988;5120;10365;12544;8609;6409;4511;2769;1214;68819
251630 Sumé;1033;1328;1409;1233;2652;2780;2197;1619;1271;833;430;16785
251640 Tacima;854;756;919;932;1852;1950;1417;815;633;483;211;10822
251650 Taperoá;1098;1410;1488;1255;2606;2322;1739;1347;1049;685;377;15376
251660 Tavares;1005;1536;1408;1160;2605;2300;1611;1215;924;584;217;14565
251670 Teixeira;1279;1535;1564;1138;2707;2311;1667;1173;890;487;224;14975
251675 Tenório;206;290;264;273;593;521;311;248;173;78;54;3011
251680 Triunfo;744;770;756;826;1750;1332;1036;932;670;458;177;9451
251690 Uiraúna;1177;1180;1274;1015;2512;2450;1779;1524;1212;769;332;15224
251700 Umbuzeiro;844;890;834;917;1761;1292;1109;863;692;474;215;9891
251710 Várzea;117;244;287;138;464;428;356;268;231;161;53;2747
251720 Vieirópolis;370;466;365;386;749;904;615;551;489;283;117;5295
250550 Vista Serrana;290;362;328;324;645;635;476;296;204;118;63;3741
251740 Zabelê;170;244;219;145;346;339;256;217;138;89;48;2211
260005 Abreu e Lima;6409;7581;8769;8282;15353;17155;13944;10808;6364;2796;1148;98609
260010 Afogados da Ingazeira;2871;3096;3323;3196;5814;5881;4328;3505;2552;1442;707;36715
260020 Afrânio;1465;1790;2095;1660;3214;2993;2277;1479;1171;610;280;19034
260030 Agrestina;1675;1971;2361;2361;4045;3750;3089;1973;1511;1070;451;24257
260040 Água Preta;2808;3258;3912;3626;6595;5774;4165;2691;1726;841;302;35698
260050 Águas Belas;4426;4622;4730;3886;6766;6078;4154;3128;2546;1513;721;42570
260060 Alagoinha;1214;1289;1395;1122;2333;2038;1694;1424;882;671;281;14343
260070 Aliança;2871;3440;3608;3753;5941;6329;4646;3643;2342;1246;441;38260
260080 Altinho;1232;1720;2115;2045;3637;3308;3026;2328;1575;1295;599;22880
260090 Amaraji;1799;2163;2297;2039;3914;3695;2631;2017;1171;668;247;22641
260100 Angelim;690;1087;1193;1016;1599;1770;1157;932;714;510;216;10884
260105 Araçoiaba;1751;1883;1914;1905;3613;3192;2424;1600;909;445;185;19821
260110 Araripina;7878;7697;9786;7595;14486;12026;9451;6266;4150;2405;1060;82800
260120 Arcoverde;5811;6905;7184;6176;12173;11226;8656;6505;4251;2568;1179;72634
260130 Barra de Guabiraba;1062;1337;1372;1406;2491;2362;1485;1212;600;438;195;13960
260140 Barreiros;3741;4165;4316;4255;6772;6824;4853;3617;1961;1269;448;42221
260150 Belém de Maria;857;1124;1423;1261;1952;1662;1444;914;616;454;183;11890
260160 Belém do São Francisco;2076;1878;2279;2086;3355;3067;2342;1636;1010;618;329;20676
260170 Belo Jardim;5772;6025;6639;7278;13220;11576;9348;6811;4444;2942;1411;75466
260180 Betânia;1008;1279;1361;1049;1887;2023;1453;922;860;483;213;12538
260190 Bezerros;3933;4313;5127;5406;9288;10129;7898;5641;4299;3025;1325;60384
260200 Bodocó;3668;3468;4186;3520;6418;5414;3988;2868;2129;1138;519;37316
260210 Bom Conselho;4110;4396;5302;4613;7414;7282;5248;3859;2939;1776;825;47764
260220 Bom Jardim;2473;2748;3519;4044;5993;6149;5088;3616;2695;1786;814;38925
260230 Bonito;3113;3414;3777;3792;6161;5537;4568;3235;2253;1567;677;38094
260240 Brejão;826;661;868;989;1469;1341;1049;708;554;364;154;8983
260250 Brejinho;578;700;684;564;1287;1133;965;622;470;343;119;7465
260260 Brejo da Madre de Deus;4469;4505;4851;4877;9345;7372;5498;3432;2556;1471;717;49093
260270 Buenos Aires;1005;1217;1286;1116;1933;2206;1565;1288;826;410;160;13012
260280 Buíque;5282;6257;6683;5988;8940;7715;5970;4207;2941;1751;790;56524
260290 Cabo de Santo Agostinho;15009;16286;17841;17972;34339;37430;26507;18220;10647;4606;1697;200554
260300 Cabrobó;3103;3411;3458;3229;5645;5275;3699;2596;1487;930;416;33249
260310 Cachoeirinha;1279;1836;1834;1676;3420;3037;2519;1818;1122;966;447;19954
260320 Caetés;2634;2699;2912;2729;5064;4091;2868;2099;1568;1011;473;28148
260330 Calçado;1141;980;1040;1060;1721;1685;1243;899;682;511;176;11138
260340 Calumbi;407;629;519;477;914;822;772;484;366;249;109;5748
260345 Camaragibe;9976;11799;12562;13001;25295;27678;22721;15431;9538;4444;1612;154057
260350 Camocim de São Félix;1150;1531;1687;1829;2969;2778;2418;1640;1138;812;342;18294
260360 Camutanga;619;661;808;833;1271;1263;1227;712;514;372;171;8451
260370 Canhotinho;1982;2167;2418;2403;4004;3933;2790;2145;1496;1042;458;24838
260380 Capoeiras;1863;1676;2000;1865;3486;2828;2207;1710;1231;788;347;20001
260390 Carnaíba;1663;1778;1674;1691;3088;2820;2453;1716;1269;794;367;19313
260392 Carnaubeira da Penha;1443;1460;1478;1260;2278;1693;1150;668;653;352;167;12602
260400 Carpina;5907;6419;7078;7022;12785;14460;10878;8182;4855;2439;1030;81055
260410 Caruaru;27383;29725;29781;28956;64765;57920;45341;30312;18291;10231;4400;347105
260415 Casinhas;1090;1381;1251;1366;2460;2135;1479;1234;858;646;319;14219
260420 Catende;3615;3936;4398;3863;7147;5906;4929;3594;2179;1316;486;41369
260430 Cedro;929;1057;1163;976;2402;1676;1245;930;619;348;171;11516
260440 Chã de Alegria;935;1176;1228;1234;2309;2246;1598;1063;862;399;154;13204
260450 Chã Grande;1576;1712;2077;2014;3403;3711;2486;1826;1376;797;303;21281
260460 Condado;2122;2182;2555;2720;3763;4110;3218;2366;1519;905;364;25824
260470 Correntes;1505;1656;1668;1631;3121;2811;1888;1519;1137;701;330;17967
260480 Cortês;858;1274;1337;1335;2149;2081;1458;1056;606;327;120;12601
260490 Cumaru;1071;960;1091;1199;1881;1968;1509;1345;958;780;373;13135
260500 Cupira;1522;1950;2255;2422;3986;3857;2732;2024;1575;1014;502;23839
260510 Custódia;3174;3224;3217;2841;5972;5571;4493;3360;2232;1390;713;36187
260515 Dormentes;1693;1675;1804;1563;3234;2781;2148;1502;1118;535;269;18322
260520 Escada;5012;6000;6378;6138;11817;11556;8436;6240;3206;1868;731;67382
260530 Exu;2947;3082;3327;2724;5450;4456;3575;2696;1826;1277;572;31932
260540 Feira Nova;1554;1912;2071;1930;3414;3537;2650;1935;1448;880;378;21709
260545 Fernando de Noronha;252;216;175;150;551;609;481;359;89;34;12;2928
260550 Ferreiros;784;1106;1118;1054;1770;2111;1406;1059;852;499;199;11958
260560 Flores;1413;2260;2150;1696;3534;3298;2807;2228;1544;1114;546;22590
260570 Floresta;3322;3194;3129;3055;5788;4775;3410;2189;1595;904;450;31811
260580 Frei Miguelinho;1115;1261;1156;1113;2363;2407;1768;1431;1199;864;461;15138
260590 Gameleira;1839;2987;3389;3435;5395;4990;3567;2208;1371;729;224;30134
260600 Garanhuns;11943;11913;12788;11730;22951;22648;16254;12014;8219;4581;1915;136956
260610 Glória do Goitá;2229;2636;2760;2820;5212;4841;3693;2545;1902;1080;504;30222
260620 Goiana;6308;7139;6567;7015;12664;13196;10318;7540;4409;2411;1056;78623
260630 Granito;452;774;880;569;1316;1069;832;588;411;297;122;7310
260640 Gravatá;5674;6695;7064;7443;13600;13610;10687;7653;4990;3144;1338;81898
260650 Iati;1678;1978;2133;1813;3046;2814;1976;1471;1156;657;291;19013
260660 Ibimirim;2644;3158;2743;2633;5459;3923;3079;2175;1618;783;390;28605
260670 Ibirajuba;528;692;778;650;1208;1120;859;674;568;442;204;7723
260680 Igarassu;8097;9587;9947;9857;18977;19132;16178;10848;5909;2819;1122;112473
260690 Iguaracy;1135;978;1105;853;1857;1715;1476;1293;906;526;290;12134
260760 Ilha de Itamaracá;1722;1801;2115;1935;5063;4811;3323;2216;1230;485;187;24888
260700 Inajá;2435;2807;2508;2043;4329;2954;1992;1376;889;408;193;21934
260710 Ingazeira;240;401;445;388;770;642;594;445;341;210;78;4554
260720 Ipojuca;8440;9325;8885;9189;16704;15669;10760;6698;3405;1673;598;91346
260730 Ipubi;2877;3205;3805;2739;5081;4271;3053;1987;1390;959;355;29722
260740 Itacuruba;444;514;560;370;831;718;503;372;244;149;48;4753
260750 Itaíba;2236;2555;2876;2551;4524;3598;2964;2066;1685;918;442;26415
260765 Itambé;3091;3046;3481;3522;5861;6182;4192;3039;2029;1293;540;36276
260770 Itapetim;975;1164;1255;851;2150;2083;1712;1318;1155;730;390;13783
260775 Itapissuma;1678;2369;2576;2274;4814;4544;3167;2170;1352;610;246;25800
260780 Itaquitinga;1399;1721;1696;1555;2725;2770;2021;1358;866;482;161;16754
260790 Jaboatão dos Guararapes;50397;53812;57545;57368;113860;118825;96234;72373;41165;17823;6753;686155
260795 Jaqueira;983;1172;1292;1249;2073;1735;1304;860;548;318;128;11662
260800 Jataúba;1135;1597;1785;1749;3015;2177;1934;1500;983;626;358;16859
260805 Jatobá;1196;1361;1493;1165;2367;2391;1590;1420;945;458;200;14586
260810 João Alfredo;2228;2617;2999;3168;5264;5526;3810;2828;2287;1528;688;32943
260820 Joaquim Nabuco;1358;1609;1744;1510;2805;2545;1789;1269;778;452;161;16020
260825 Jucati;1065;1070;1182;995;1898;1663;1319;774;677;378;179;11200
260830 Jupi;1159;1378;1274;1427;2552;2048;1742;1187;964;567;224;14522
260840 Jurema;1167;1416;1663;1613;2149;2116;1644;1293;1013;769;329;15172
260850 Lagoa de Itaenga;1913;1796;2019;2193;3383;3599;2360;1759;1272;680;305;21279
260845 Lagoa do Carro;1571;1567;1458;1590;2675;3054;2273;1611;1001;447;207;17454
260860 Lagoa do Ouro;990;1148;1454;1257;1882;1959;1566;1017;959;432;200;12864
260870 Lagoa dos Gatos;1340;1406;1622;1566;2638;2365;1758;1363;1054;750;298;16160
260875 Lagoa Grande;2181;2525;2963;2352;4625;3667;2686;1803;1110;595;248;24755
260880 Lajedo;2946;3603;3952;3395;6474;6225;4361;3439;2462;1657;728;39242
260890 Limoeiro;3322;4059;4797;4708;9182;9644;7689;5529;3954;2303;1089;56276
260900 Macaparana;2004;2042;2137;2512;4180;3868;2779;2285;1608;1081;519;25015
260910 Machados;1355;1516;1548;1282;2681;2693;1617;1140;822;458;203;15315
260915 Manari;1804;2547;2559;2166;3880;2705;1805;1180;964;468;225;20303
